Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_23,Class_24,Class_90,AWATER20,TRACTCE20,COUNTYFP20,MTFCC20,INTPTLAT20,BLOCKCE20,UACE20,STATEFP20,ALAND20,NAME20,UR20,FUNCSTAT20,INTPTLON20,GEOID20,system:index,UATYPE20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.61,0.0,197.61,0.0,0.0,0.0,197628948,990000,1,G5040,39.0300144,6,,10,0,Block 0006,R,S,-75.2587257,100019900000006,00b40000000000000dac,
0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0,42900,1,G5040,38.8713427,1032,,10,317188,Block 1032,R,S,-75.5133191,100010429001032,00b400000000000014f3,
0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.1,0.45,0.0,0.0,0.06,0,42207,1,G5040,39.0564552,1032,,10,440074,Block 1032,R,S,-75.5050739,100010422071032,00b40000000000001a2b,
0.0,0.0,0.55,0.0,0.11,0.0,0.0,0.0,0.01,0.14,0.0,0.0,1.5,0.0,0.0,0.69,0,41900,1,G5040,39.1031154,1032,,10,1493013,Block 1032,R,S,-75.7301208,100010419001032,00b40000000000001b59,
0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0,42100,1,G5040,39.0413812,1032,,10,14690,Block 1032,R,S,-75.5715811,100010421001032,00b40000000000001bef,
0.0,0.0,0.34,0.0,0.07,0.0,0.0,0.0,0.02,0.0,0.0,0.07,0.79,0.05,0.24,0.0,0,42500,1,G5040,38.9248057,1032,,10,789182,Block 1032,R,S,-75.4203893,100010425001032,00b4000000000000203c,
0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1399999999999999,0.0,0.04,0.04,0,43400,1,G5040,39.002756,1032,,10,135520,Block 1032,R,S,-75.484787,100010434001032,00b400000000000021f8,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0,43000,1,G5040,38.9227645,1032,,10,16447,Block 1032,R,S,-75.5813303,100010430001032,00b4000000000000227f,
0.0,0.0,0.08,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.29,0,43100,1,G5040,38.915199,1032,,10,447949,Block 1032,R,S,-75.6511894,100010431001032,00b40000000000002585,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0,42802,1,G5040,39.009005,1032,,10,10929,Block 1032,R,S,-75.5721695,100010428021032,00b400000000000027a7,
