Class_71,Class_82,Class_95,Class_41,Class_31,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_23,Class_24,Class_90,AWATER20,TRACTCE20,COUNTYFP20,MTFCC20,INTPTLAT20,BLOCKCE20,UACE20,STATEFP20,ALAND20,NAME20,UR20,FUNCSTAT20,INTPTLON20,GEOID20,system:index,UATYPE20
0.0,0.0,0.0,0.0,0.0,0.05,0.0,2.02,0.07,2.1899999999999995,0.03,0.02,0.0,2187001,7301,1,G5040,38.8362591,1023,,11,0,Block 1023,R,S,-77.033314,110010073011023,00b3000000000000737d,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1459,2600,1,G5040,38.9355247,1023,,11,0,Block 1023,R,S,-77.0469511,110010026001023,00b300000000000073d6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,1500,1,G5040,38.9693439,1023,,11,15997,Block 1023,R,S,-77.0575229,110010015001023,00b300000000000078a6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9504,1,G5040,38.9353033,1023,,11,1230,Block 1023,R,S,-76.9927393,110010095041023,00b30000000000007baf,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,9601,1,G5040,38.9034436,1023,,11,8448,Block 1023,R,S,-76.9443325,110010096011023,00b30000000000007da7,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0,1600,1,G5040,38.9835675,1023,,11,14450,Block 1023,R,S,-77.030844,110010016001023,00b30000000000007e15,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0,1702,1,G5040,38.9705983,1023,,11,13442,Block 1023,R,S,-77.0219319,110010017021023,00b30000000000007f3d,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0,7401,1,G5040,38.8609683,1023,,11,59140,Block 1023,R,S,-76.9965477,110010074011023,00b30000000000007f4f,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0,7903,1,G5040,38.8940396,1023,,11,14749,Block 1023,R,S,-76.9767384,110010079031023,00b300000000000080bc,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0,10400,1,G5040,38.8436342,1023,,11,12644,Block 1023,R,S,-76.9997601,110010104001023,00b30000000000008118,
0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0699999999999999,0.06,0.0,0.0,0,980000,1,G5040,38.8913531,1023,,11,65332,Block 1023,R,S,-77.0196975,110019800001023,00b3000000000000830c,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1699999999999999,0.0,0.12,0.0,0,11100,1,G5040,38.9203246,1023,,11,160841,Block 1023,R,S,-76.9667977,110010111001023,00b300000000000083bd,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0,10700,1,G5040,38.9007792,1023,,11,18883,Block 1023,R,S,-77.0425781,110010107001023,00b30000000000008519,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0,2002,1,G5040,38.9466542,1023,,11,30710,Block 1023,R,S,-77.0281957,110010020021023,00b300000000000086af,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0,1500,1,G5040,38.9687229,1024,,11,62690,Block 1024,R,S,-77.060058,110010015001024,00b3000000000000760e,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0,980000,1,G5040,38.8925685,1024,,11,18614,Block 1024,R,S,-77.0210055,110019800001024,00b3000000000000772b,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0,7301,1,G5040,38.8324908,1024,,11,44499,Block 1024,R,S,-77.0199065,110010073011024,00b30000000000007972,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0,7401,1,G5040,38.8613651,1024,,11,5822,Block 1024,R,S,-76.9998595,110010074011024,00b30000000000007e68,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0,10400,1,G5040,38.8442486,1024,,11,6837,Block 1024,R,S,-76.9930751,110010104001024,00b30000000000007fbb,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,9601,1,G5040,38.9067649,1024,,11,11086,Block 1024,R,S,-76.9425724,110010096011024,00b300000000000081a8,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0,7903,1,G5040,38.8954461,1024,,11,13365,Block 1024,R,S,-76.9767383,110010079031024,00b30000000000008471,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0,1702,1,G5040,38.9705995,1024,,11,19752,Block 1024,R,S,-77.0206555,110010017021024,00b300000000000084fc,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0,10700,1,G5040,38.900774,1024,,11,24389,Block 1024,R,S,-77.0405735,110010107001024,00b30000000000008860,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0,11100,1,G5040,38.9218231,1024,,11,29444,Block 1024,R,S,-76.965116,110010111001024,00b300000000000089d6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0,1500,1,G5040,38.9676116,1025,,11,30705,Block 1025,R,S,-77.0589256,110010015001025,00b30000000000007523,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0,980000,1,G5040,38.8928451,1025,,11,29893,Block 1025,R,S,-77.0230111,110019800001025,00b300000000000078bf,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,11100,1,G5040,38.9228306,1025,,11,12523,Block 1025,R,S,-76.9671769,110010111001025,00b300000000000079fb,
