Class_sum,AWATER20,TRACTCE20,COUNTYFP20,MTFCC20,INTPTLAT20,BLOCKCE20,UACE20,STATEFP20,ALAND20,NAME20,UR20,FUNCSTAT20,INTPTLON20,GEOID20,system:index,UATYPE20
0.0,2300,20202,1,G5040,19.7144638,1000,,15,17204,Block 1000,R,S,-155.1361491,150010202021000,001d0000000000001c3c,
0.0,0,20801,1,G5040,19.6867937,1000,,15,558812,Block 1000,R,S,-155.0936793,150010208011000,001d00000000000024b6,
0.0,0,21013,1,G5040,19.6241936,1000,,15,4930,Block 1000,R,S,-155.0302023,150010210131000,001d00000000000024df,
0.0,0,20100,1,G5040,19.8294819,1000,,15,173731,Block 1000,R,S,-155.1005145,150010201001000,001d000000000000265b,
0.0,0,21510,1,G5040,19.5923951,1000,,15,51405,Block 1000,R,S,-155.9602533,150010215101000,001d000000000000275a,
0.0,0,21707,1,G5040,19.9434012,1000,,15,108643,Block 1000,R,S,-155.786774,150010217071000,001d00000000000028b8,
0.0,0,21300,1,G5040,19.4278562,1000,,15,12727635,Block 1000,R,S,-155.8447244,150010213001000,001d000000000000292f,
0.0,0,21607,1,G5040,19.6026045,1000,,15,16284,Block 1000,R,S,-155.9607856,150010216071000,001d00000000000029e7,
0.0,0,21107,1,G5040,19.3496977,1000,,15,33032,Block 1000,R,S,-154.9888061,150010211071000,001d0000000000002a25,
0.0,0,21204,1,G5040,19.0643632,1000,,15,19803,Block 1000,R,S,-155.5833561,150010212041000,001d0000000000002bbe,
0.0,0,21605,1,G5040,19.6636159,1000,,15,3854612,Block 1000,R,S,-155.9753546,150010216051000,001d0000000000002c59,
0.0,0,20702,1,G5040,19.6775907,1000,,15,68954,Block 1000,R,S,-155.1040418,150010207021000,001d0000000000002d0d,
0.0,0,20400,1,G5040,19.7137476,1000,,15,106375,Block 1000,R,S,-155.0872387,150010204001000,001d0000000000002e6d,
0.0,0,21708,1,G5040,20.006474,1000,,15,11501,Block 1000,R,S,-155.8206186,150010217081000,001d0000000000002fb5,
0.0,0,21800,1,G5040,20.2415249,1000,,15,244518,Block 1000,R,S,-155.8182797,150010218001000,001d00000000000030fc,
0.0,0,21502,1,G5040,19.6452412,1000,,15,1601777,Block 1000,R,S,-155.8850465,150010215021000,001d00000000000032f7,
0.0,0,21606,1,G5040,19.6339977,1000,,15,138369,Block 1000,R,S,-155.9791752,150010216061000,001d0000000000003509,
0.0,0,21705,1,G5040,20.0304061,1000,,15,257098,Block 1000,R,S,-155.6967015,150010217051000,001d00000000000036a2,
0.0,0,21203,1,G5040,19.2041466,1000,,15,19303,Block 1000,R,S,-155.4746223,150010212031000,001d000000000000376d,
0.0,0,21513,1,G5040,19.8014613,1000,,15,461782,Block 1000,R,S,-155.9992355,150010215131000,001d0000000000003775,
0.0,0,21902,1,G5040,20.0284451,1000,,15,10027652,Block 1000,R,S,-155.5337969,150010219021000,001d00000000000037a5,
0.0,0,21706,1,G5040,20.022279,1000,,15,26084,Block 1000,R,S,-155.6200367,150010217061000,001d0000000000003c44,
0.0,0,20300,1,G5040,19.7192745,1000,,15,232852,Block 1000,R,S,-155.1017955,150010203001000,001d0000000000003d16,
0.0,0,21402,1,G5040,19.5181969,1000,,15,23176,Block 1000,R,S,-155.9216429,150010214021000,001d0000000000003d29,
0.0,0,20701,1,G5040,19.6890898,1000,,15,153046,Block 1000,R,S,-155.0774115,150010207011000,001d0000000000003f35,
0.0,0,22102,1,G5040,19.9525194,1000,,15,959255,Block 1000,R,S,-155.2044094,150010221021000,001d0000000000004335,
0.0,0,21003,1,G5040,19.5602659,1000,,15,704878,Block 1000,R,S,-155.0060469,150010210031000,001d0000000000004429,
0.0,0,21511,1,G5040,19.5921181,1000,,15,88543,Block 1000,R,S,-155.9566801,150010215111000,001d000000000000445e,
0.0,0,21011,1,G5040,19.5595219,1000,,15,3709728,Block 1000,R,S,-155.1121107,150010210111000,001d000000000000446e,
0.0,0,21015,1,G5040,19.5794065,1000,,15,3004962,Block 1000,R,S,-154.9433688,150010210151000,001d00000000000046ed,
0.0,0,20500,1,G5040,19.7160441,1000,,15,11034,Block 1000,R,S,-155.0693457,150010205001000,001d0000000000004b94,
0.0,0,22000,1,G5040,19.7168677,1000,,15,3074938,Block 1000,R,S,-155.5178215,150010220001000,001d0000000000004c48,
0.0,0,21014,1,G5040,19.5870545,1000,,15,86822,Block 1000,R,S,-154.9888964,150010210141000,001d0000000000004dbd,
0.0,0,21108,1,G5040,19.5551011,1000,,15,92542,Block 1000,R,S,-154.8790166,150010211081000,001d0000000000004e0c,
0.0,0,21504,1,G5040,19.6707157,1000,,15,95992,Block 1000,R,S,-155.9807335,150010215041000,001d0000000000004e5f,
0.0,0,21016,1,G5040,19.5409392,1000,,15,893408,Block 1000,R,S,-155.0620431,150010210161000,001d0000000000004f5e,
0.0,0,21101,1,G5040,19.4927247,1000,,15,11649,Block 1000,R,S,-154.8206054,150010211011000,001d00000000000051b2,
0.0,0,21512,1,G5040,19.6950844,1000,,15,11100,Block 1000,R,S,-155.9834716,150010215121000,001d0000000000005471,
0.0,0,21017,1,G5040,19.5017496,1000,,15,251843,Block 1000,R,S,-155.108825,150010210171000,001d0000000000005495,
0.0,0,21608,1,G5040,19.6143442,1000,,15,56385,Block 1000,R,S,-155.9826907,150010216081000,001d00000000000054c9,
0.0,0,20802,1,G5040,19.7155547,1000,,15,21251,Block 1000,R,S,-155.1061986,150010208021000,001d0000000000005555,
0.0,0,20900,1,G5040,19.6726524,1000,,15,50864,Block 1000,R,S,-155.0729304,150010209001000,001d000000000000556a,
0.0,4864,20202,1,G5040,19.7192608,1001,,15,1210928,Block 1001,R,S,-155.1290244,150010202021001,001d0000000000001c3b,
0.0,8185,21502,1,G5040,19.6264878,1001,,15,21400684,Block 1001,R,S,-155.9103359,150010215021001,001d0000000000001c58,
0.0,0,20400,1,G5040,19.7111255,1001,,15,82855,Block 1001,R,S,-155.0896651,150010204001001,001d00000000000021c6,
0.0,0,20801,1,G5040,19.6920208,1001,,15,158209,Block 1001,R,S,-155.0927562,150010208011001,001d0000000000002322,
0.0,0,22000,1,G5040,19.7413354,1001,,15,1313878,Block 1001,R,S,-155.5347518,150010220001001,001d00000000000024cb,
0.0,0,21800,1,G5040,20.2429447,1001,,15,1206565,Block 1001,R,S,-155.8243806,150010218001001,001d00000000000027f9,
0.0,0,20900,1,G5040,19.6580494,1001,,15,6900654,Block 1001,R,S,-155.0773243,150010209001001,001d0000000000002b55,
0.0,0,21708,1,G5040,20.002749,1001,,15,2794941,Block 1001,R,S,-155.8227855,150010217081001,001d0000000000002bc5,
0.0,0,21014,1,G5040,19.6004241,1001,,15,4567959,Block 1001,R,S,-154.9788607,150010210141001,001d0000000000002c01,
0.0,0,21707,1,G5040,19.9466652,1001,,15,209853,Block 1001,R,S,-155.7851898,150010217071001,001d0000000000002c52,
0.0,0,21003,1,G5040,19.571634,1001,,15,640291,Block 1001,R,S,-155.0144401,150010210031001,001d0000000000002cb7,
0.0,0,21402,1,G5040,19.5185878,1001,,15,867233,Block 1001,R,S,-155.9293885,150010214021001,001d0000000000002d9f,
