GEOID,STATEFP,COUNTYFP
1107,1,107
1065,1,65
1125,1,125
1055,1,55
1015,1,15
1051,1,51
1101,1,101
1005,1,5
1109,1,109
1085,1,85
1047,1,47
1001,1,1
1077,1,77
1033,1,33
1127,1,127
1043,1,43
1009,1,9
1073,1,73
1007,1,7
1117,1,117
1021,1,21
1121,1,121
1037,1,37
1115,1,115
1123,1,123
1071,1,71
1017,1,17
1081,1,81
1113,1,113
1067,1,67
1045,1,45
1031,1,31
1061,1,61
1069,1,69
1049,1,49
1089,1,89
1095,1,95
1103,1,103
1083,1,83
1079,1,79
1003,1,3
1097,1,97
1053,1,53
2090,2,90
2170,2,170
2110,2,110
2130,2,130
2020,2,20
4003,4,3
4021,4,21
4009,4,9
4007,4,7
4017,4,17
4005,4,5
4025,4,25
4027,4,27
4013,4,13
4015,4,15
4023,4,23
4019,4,19
5107,5,107
5013,5,13
5139,5,139
5027,5,27
5103,5,103
5019,5,19
5099,5,99
5057,5,57
5091,5,91
5081,5,81
5101,5,101
5115,5,115
5149,5,149
5005,5,5
5009,5,9
5063,5,63
5093,5,93
5143,5,143
5007,5,7
5087,5,87
5033,5,33
5131,5,131
5059,5,59
5051,5,51
5031,5,31
5111,5,111
5055,5,55
5079,5,79
5069,5,69
5085,5,85
5025,5,25
5119,5,119
5053,5,53
5125,5,125
5105,5,105
5045,5,45
5145,5,145
5123,5,123
5035,5,35
6035,6,35
6015,6,15
6023,6,23
6045,6,45
6033,6,33
6007,6,7
6053,6,53
6109,6,109
6079,6,79
6029,6,29
6025,6,25
6073,6,73
6083,6,83
6019,6,19
6039,6,39
6071,6,71
6037,6,37
6111,6,111
6059,6,59
6065,6,65
6099,6,99
6047,6,47
6089,6,89
6103,6,103
6101,6,101
6115,6,115
6113,6,113
6067,6,67
6057,6,57
6061,6,61
6017,6,17
6097,6,97
6041,6,41
6055,6,55
6095,6,95
6013,6,13
6001,6,1
6075,6,75
6069,6,69
6087,6,87
6085,6,85
6081,6,81
6077,6,77
6031,6,31
6107,6,107
8041,8,41
8119,8,119
8085,8,85
8077,8,77
8067,8,67
8069,8,69
8117,8,117
8087,8,87
8075,8,75
8039,8,39
8093,8,93
8123,8,123
8013,8,13
8019,8,19
8059,8,59
8035,8,35
8005,8,5
8031,8,31
8001,8,1
8014,8,14
8047,8,47
8097,8,97
8037,8,37
8045,8,45
8101,8,101
8043,8,43
8107,8,107
8081,8,81
12091,12,91
12131,12,131
12005,12,5
12045,12,45
12103,12,103
12101,12,101
12053,12,53
12057,12,57
12087,12,87
12051,12,51
12055,12,55
12105,12,105
12049,12,49
12009,12,9
12083,12,83
12017,12,17
12071,12,71
12021,12,21
12001,12,1
12023,12,23
12041,12,41
12109,12,109
12031,12,31
12089,12,89
12003,12,3
12019,12,19
12107,12,107
12086,12,86
12011,12,11
12099,12,99
12093,12,93
12085,12,85
12061,12,61
12111,12,111
12081,12,81
12115,12,115
12015,12,15
12027,12,27
12119,12,119
12069,12,69
12097,12,97
12095,12,95
12127,12,127
12035,12,35
12117,12,117
12113,12,113
12033,12,33
12129,12,129
12065,12,65
12073,12,73
12039,12,39
13239,13,239
13127,13,127
13191,13,191
13025,13,25
13305,13,305
13229,13,229
13299,13,299
13027,13,27
13275,13,275
13007,13,7
13095,13,95
13321,13,321
13071,13,71
13277,13,277
13069,13,69
13173,13,173
13185,13,185
13101,13,101
13209,13,209
13279,13,279
13033,13,33
13167,13,167
13175,13,175
13017,13,17
13081,13,81
13261,13,261
13177,13,177
13249,13,249
13273,13,273
13141,13,141
13009,13,9
13189,13,189
13245,13,245
13073,13,73
13181,13,181
13257,13,257
13137,13,137
13233,13,233
13285,13,285
13293,13,293
13219,13,219
13157,13,157
13059,13,59
13195,13,195
13221,13,221
13139,13,139
13129,13,129
13213,13,213
13313,13,313
13295,13,295
13083,13,83
13047,13,47
13145,13,145
13215,13,215
13053,13,53
13197,13,197
13039,13,39
13289,13,289
13169,13,169
13021,13,21
13153,13,153
13235,13,235
13079,13,79
13207,13,207
13225,13,225
13115,13,115
13055,13,55
13031,13,31
13103,13,103
13029,13,29
13179,13,179
13183,13,183
13051,13,51
13087,13,87
15001,15,1
15009,15,9
15003,15,3
15007,15,7
15005,15,5
16041,16,41
16081,16,81
16005,16,5
16013,16,13
16017,16,17
16069,16,69
16025,16,25
16063,16,63
16067,16,67
16031,16,31
16053,16,53
16083,16,83
16045,16,45
16015,16,15
16039,16,39
16001,16,1
16027,16,27
16075,16,75
16073,16,73
16043,16,43
16019,16,19
16065,16,65
16051,16,51
16023,16,23
16011,16,11
16057,16,57
16055,16,55
17109,17,109
17067,17,67
17071,17,71
17095,17,95
17115,17,115
17053,17,53
17147,17,147
17019,17,19
17183,17,183
17077,17,77
17199,17,199
17081,17,81
17035,17,35
17029,17,29
17049,17,49
17113,17,113
17039,17,39
17105,17,105
17003,17,3
17099,17,99
17011,17,11
17155,17,155
17091,17,91
17131,17,131
17073,17,73
17161,17,161
17195,17,195
17103,17,103
17127,17,127
17057,17,57
17175,17,175
17143,17,143
17123,17,123
17203,17,203
17179,17,179
17001,17,1
17177,17,177
17141,17,141
17201,17,201
17007,17,7
17121,17,121
17171,17,171
17137,17,137
17129,17,129
17107,17,107
17021,17,21
17167,17,167
18165,18,165
18017,18,17
