,GEOID,grassland,cultivated_crops,emergent_herbaceous,decidous _forest,shrub,barren_land,evergreen_forest,developed_openspace,mixed_forest,open-water,developed_lowintensity,developed_mediumintensity,developed_highintensity,woodywetlands
0,010010201001,0.08,0.0,0.07,0.33,0.0,0.0,0.33,1.05,0.87,0.0,0.23,0.17,0.0,1.13
1,010010201002,0.1,0.0,0.0,0.72,0.62,0.0,0.32,0.51,1.76,0.0,0.24,0.0,0.0,0.41
2,010010202001,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.9,0.89,0.0,0.21,0.01,0.0,0.0
3,010010202002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.01,0.0,0.04,0.58,0.0,0.0
4,010010203001,0.08,0.23,0.0,0.0,0.08,0.0,0.16,1.05,0.94,0.0,0.91,0.0,0.0,0.0
5,010010203002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.41,0.0,0.04,0.15,0.11,0.0
6,010010204001,0.0,0.16,0.0,0.06,0.08,0.0,0.31,0.38,0.58,0.0,0.47,0.03,0.0,0.04
7,010010204002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.21,0.0,1.05,0.05,0.02,0.12
8,010010204003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.33,0.01,0.05,0.0
9,010010204004,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.35,0.27,0.0,0.14,0.23,0.0,0.05
10,010010205001,0.0,0.35,0.0,0.0,0.14,0.0,0.09,0.25,0.34,0.0,0.88,0.82,0.17,0.0
11,010010205002,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.71,0.32,0.0,1.78,1.38,0.23,0.19
12,010010205003,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.34,0.4,0.0,0.86,0.13,0.0,0.1
13,010010206001,0.0,0.0,0.0,0.04,0.15,0.0,0.08,2.1,0.47,0.0,0.84,0.15,0.0,0.2
14,010010206002,0.0,0.0,0.08,0.0,0.06,0.0,0.08,1.02,0.07,0.0,0.36,0.14,0.0,0.69
15,010010207001,0.15,1.44,0.08,1.08,0.38,0.2,2.84,1.73,2.83,0.78,0.68,0.42,0.08,2.62
16,010010207002,0.0,0.0,0.0,0.0,0.01,0.0,0.45,1.01,0.57,0.0,0.54,0.1,0.13,0.0
17,010010208011,0.68,9.14,1.64,8.35,1.15,0.0,9.51,1.33,1.84,5.73,0.35,0.77,0.15,22.41
18,010010208012,0.45,0.05,0.03,16.82,2.1,0.0,4.97,2.33,3.73,0.13,0.73,0.15,0.0,6.26
19,010010208021,6.93,0.38,0.31,13.28,8.62,0.0,19.22,3.16,13.71,0.23,0.01,0.0,0.0,13.95
20,010010208022,1.05,0.81,0.0,9.02,2.09,0.0,2.82,1.79,2.76,0.0,1.58,0.52,0.0,0.08
21,010010208023,0.3,0.0,0.0,6.74,2.6,0.0,8.18,1.17,3.55,0.68,0.29,0.09,0.0,1.54
22,010010208024,0.38,0.91,0.0,9.71,2.32,0.0,5.53,2.62,5.06,0.0,0.97,0.19,0.0,0.71
23,010010209001,8.21,1.57,0.09,9.52,5.74,0.15,31.44,1.39,6.71,0.0,0.13,0.0,0.0,9.39
24,010010209002,7.1,0.53,0.0,12.78,8.48,0.0,26.47,2.2,10.12,0.39,0.24,0.09,0.0,2.45
25,010010209003,4.12,0.57,0.08,20.2,4.39,0.0,6.56,1.7,4.38,0.08,0.19,0.0,0.0,1.64
26,010010209004,0.99,1.71,1.38,8.0,2.26,0.0,12.75,1.62,6.74,0.44,0.51,0.39,0.0,3.84
27,010010210001,20.54,0.3,1.07,24.44,21.31,0.08,73.1,4.03,33.93,0.23,0.0,0.0,0.0,15.86
28,010010210002,19.03,1.28,3.83,10.98,19.26,0.53,43.76,3.8,23.96,0.91,0.45,0.23,0.15,22.77
29,010010211001,11.65,2.63,1.13,26.28,13.26,0.23,42.2,3.52,19.48,0.09,0.21,0.0,0.0,22.86
30,010010211002,9.31,4.32,0.15,15.91,6.89,0.03,34.44,1.46,25.63,0.0,0.08,0.0,0.0,4.53
31,010010211003,2.38,28.33,0.89,44.1,6.06,0.01,19.29,3.04,17.64,11.27,0.24,0.0,0.0,27.51
32,010030101001,5.67,2.81,20.26,0.0,2.67,0.28,56.15,1.5,1.31,18.81,0.0,0.0,0.0,240.84
33,010030101002,18.49,2.48,7.39,0.0,5.94,0.08,86.23,2.82,0.94,9.41,0.06,0.0,0.0,98.68
34,010030101003,49.95,9.15,0.7,0.15,38.66,0.54,235.81,3.76,6.12,0.77,0.14,0.0,0.0,67.32
35,010030102001,6.71,0.73,0.0,0.0,5.51,0.2,61.81,2.69,1.32,0.15,0.73,0.08,0.0,30.16
36,010030102002,6.83,0.0,0.0,0.08,6.02,0.0,58.12,1.59,0.61,0.08,0.02,0.0,0.0,27.56
37,010030103001,7.39,0.0,0.0,0.0,5.7,0.0,32.48,2.67,0.68,0.0,0.39,0.23,0.15,8.08
38,010030103002,7.6,0.7,3.01,0.0,1.9,0.0,66.43,3.03,0.57,7.14,0.51,0.05,0.0,27.19
39,010030103003,1.82,1.64,0.29,0.0,1.39,0.15,68.1,3.16,0.58,13.23,0.29,0.11,0.14,90.38
40,010030104001,37.17,5.56,0.15,0.0,71.23,0.0,140.0,3.52,0.31,0.4,0.43,0.0,0.0,78.81
41,010030104002,9.14,5.25,0.0,0.0,12.86,0.36,66.48,3.4,0.22,0.77,0.7,0.69,0.08,29.87
42,010030104003,21.65,5.56,0.15,0.0,26.56,0.29,122.01,4.04,0.96,0.08,0.52,0.15,0.0,62.12
43,010030105001,0.08,0.0,0.0,0.0,0.0,0.0,0.29,0.99,0.0,0.0,0.44,0.32,0.18,0.36
44,010030105002,0.0,0.0,0.0,0.0,0.0,0.0,0.56,1.26,0.0,0.0,0.21,0.13,0.01,0.47
45,010030105003,0.08,0.0,0.08,0.0,0.77,0.0,3.76,1.56,0.31,0.08,0.45,0.0,0.0,1.14
46,010030105004,0.0,0.0,0.0,0.0,0.01,0.27,0.41,1.62,0.08,0.0,0.27,0.13,0.03,0.12
47,010030106001,0.18,0.15,0.0,0.0,0.14,0.08,0.59,0.42,0.06,0.0,0.13,0.1,0.13,0.46
48,010030106002,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.74,0.0,0.0,0.28,0.11,0.04,0.0
49,010030106003,0.51,0.84,0.0,0.0,0.28,0.0,5.57,1.22,0.46,0.0,0.43,0.45,0.15,2.41
50,010030107011,0.08,0.0,22.88,0.0,0.0,0.39,1.77,2.22,0.0,44.05,1.14,0.05,0.0,60.08
51,010030107012,0.09,0.0,0.0,0.0,0.0,0.0,1.25,3.0,0.0,0.0,0.99,0.19,0.0,0.31
52,010030107013,0.08,0.0,0.0,0.0,0.15,0.0,4.31,1.3,0.0,0.03,0.35,0.0,0.0,1.39
53,010030107014,0.29,0.0,2.03,0.0,0.0,0.23,1.03,1.17,0.0,9.44,0.85,0.45,0.17,0.91
54,010030107031,0.82,26.02,0.08,0.0,0.77,0.08,10.52,6.53,0.46,0.31,3.0,0.32,0.24,3.74
55,010030107032,1.52,2.08,0.0,0.0,5.1,0.0,47.78,3.3,0.08,0.15,4.08,1.51,0.31,12.71
56,010030107041,0.0,0.0,0.07,0.0,0.0,0.0,2.54,1.61,0.0,0.15,0.59,0.27,0.21,0.45
57,010030107042,0.0,0.0,0.0,0.0,0.0,0.0,0.89,1.35,0.0,0.0,0.4,0.0,0.0,0.08
58,010030107051,0.23,1.65,1.1,0.0,0.1,0.0,3.5,2.0,0.0,26.44,2.03,1.13,0.15,0.88
59,010030107052,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.15,0.0,0.07,0.37,0.05,0.0,0.05
60,010030107053,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.9,0.0,0.0,0.48,0.06,0.0,0.02
61,010030108001,0.0,0.04,0.0,0.0,0.05,0.0,1.83,1.23,0.0,0.0,0.56,0.56,0.15,0.37
62,010030108002,0.0,0.0,0.0,0.0,0.0,0.08,2.53,1.76,0.0,4.49,0.45,0.24,0.08,0.84
63,010030108003,0.0,0.0,0.0,0.0,0.08,0.0,2.84,1.65,0.0,0.0,0.64,0.28,0.07,0.47
64,010030109031,0.94,5.8,0.0,0.0,0.48,0.0,4.33,1.44,0.08,0.0,0.61,0.08,0.01,1.6
65,010030109032,0.0,1.1,0.0,0.0,0.02,0.0,0.39,1.35,0.0,0.15,0.52,0.1,0.0,0.42
